nome,cpf,conta,saldo
Luiz Fernando Vieira,790.458.123-04,100000,38863.87
Eloah Pereira,451.209.863-15,100001,37554.04
Noah Freitas,875.924.630-83,100002,36680.17
Ana Luiza Almeida,935.408.621-70,100003,44697.2
Luiz Otávio Freitas,649.270.158-58,100004,35390.16
Rafael Silva,213.746.980-40,100005,46511.33
Bruno Cardoso,754.081.623-62,100006,47360.32
Melissa da Mata,163.502.498-60,100007,21975.45
Dra. Valentina Gomes,715.094.263-61,100008,6989.1
Enrico Vieira,875.062.439-38,100009,15390.38
Manuela da Cunha,016.435.782-35,100010,19262.61
Emanuelly Cunha,453.620.819-42,100011,44831.31
Anthony Gonçalves,583.169.047-48,100012,45245.77
Letícia Martins,179.452.083-04,100013,39032.11
Pedro das Neves,986.517.043-48,100014,32813.37
Augusto Campos,749.801.235-97,100015,19297.85
Bianca Rocha,143.608.579-93,100016,31017.55
Luiz Otávio Freitas,271.586.490-67,100017,45174.57
Melissa Costela,812.496.370-31,100018,7127.08
Lavínia Jesus,461.205.893-33,100019,27646.48
Sofia Lima,452.389.761-19,100020,13417.58
Erick das Neves,185.320.976-77,100021,7908.77
Leandro Vieira,601.537.298-21,100022,45783.03
Carlos Eduardo Carvalho,973.085.214-60,100023,7588.57
Dra. Bianca Campos,782.635.091-30,100024,40729.18
João Pedro Farias,357.602.984-29,100025,39269.08
João Miguel Araújo,143.275.980-97,100026,13037.99
Benício da Rocha,740.985.312-32,100027,29203.3
Maria Eduarda Cavalcanti,704.895.162-11,100028,7408.44
Lorena Lima,607.593.824-92,100029,2299.96
Guilherme Moreira,907.863.215-12,100030,46203.5
Daniel Farias,354.972.610-43,100031,22936.13
Clarice Fernandes,490.368.271-40,100032,32929.44
Raul Lima,758.421.960-85,100033,12021.94
Renan Ramos,036.452.879-65,100034,18604.68
Lavínia Araújo,638.251.047-53,100035,34366.2
Vinicius Moreira,784.602.159-11,100036,22896.5
Ana Vitória Barbosa,573.469.120-80,100037,46037.82
Rebeca Moraes,154.279.638-55,100038,28605.13
Dra. Gabrielly Araújo,640.937.128-40,100039,49576.57
Davi Lucas Nunes,027.489.156-58,100040,18231.36
Carolina Gonçalves,283.701.596-21,100041,34615.47
João Vitor Farias,293.451.768-37,100042,25046.57
Noah Nascimento,359.617.420-16,100043,42242.32
Levi Martins,194.632.508-24,100044,29096.74
Srta. Ana Laura Correia,043.218.956-42,100045,31414.94
Clarice Caldeira,185.067.243-17,100046,11113.32
Yasmin Nunes,472.618.395-82,100047,49220.28
Gustavo Nogueira,543.279.816-64,100048,34661.02
Bernardo Sales,914.802.576-30,100049,692.16
Yago Sales,407.138.265-17,100050,36357.93
Luiz Henrique Dias,932.561.780-30,100051,8406.43
Levi Araújo,652.314.089-05,100052,3063.91
Dra. Ana Beatriz da Cunha,254.317.680-26,100053,24475.94
Lucas Gabriel Fernandes,736.291.508-02,100054,44813.41
Maria Sophia Dias,735.268.094-29,100055,21265.09
Pedro Henrique Costela,812.493.507-60,100056,49870.61
Yago Araújo,720.316.859-02,100057,42488.1
Enrico da Cunha,012.765.348-17,100058,34443.36
Letícia Ramos,987.453.160-66,100059,44285.8
Bryan Cardoso,127.604.835-17,100060,16253.58
Clarice Dias,471.563.098-20,100061,28660.62
Augusto Novaes,304.951.276-80,100062,10666.7
Sophie Pereira,129.653.407-34,100063,27211.23
Stella Cavalcanti,683.291.540-33,100064,28719.31
Marcela Nascimento,574.192.803-04,100065,43176.37
Caio Correia,582.906.134-15,100066,17998.53
Clarice Peixoto,056.248.139-70,100067,1995.95
Bruna Nascimento,120.734.659-43,100068,11684.61
Sr. Breno Pereira,901.236.784-04,100069,8494.22
Rafaela da Rosa,254.360.187-26,100070,4752.05
Lívia Jesus,206.147.958-85,100071,9620.87
Júlia Castro,284.351.960-89,100072,12150.67
Dr. Lucca Porto,941.386.052-15,100073,5911.15
Srta. Ana Clara Gomes,341.567.809-10,100074,38093.48
Cauã da Paz,938.214.560-51,100075,26968.41
Mirella Pires,280.146.735-90,100076,23430.29
Sra. Ana Laura Ramos,623.941.807-22,100077,46501.26
Maria Clara Santos,589.406.371-00,100078,75.72
Rebeca Pires,618.970.524-30,100079,9606.37
Dra. Juliana da Rosa,683.529.047-10,100080,26089.0
Davi Lucas Porto,708.659.134-39,100081,22009.38
Srta. Luana Ribeiro,805.369.741-01,100082,49851.98
João Miguel Cardoso,528.706.941-30,100083,21009.95
Ian Gonçalves,156.249.807-01,100084,41484.45
Maria Luiza Santos,619.258.734-55,100085,12698.41
Rebeca Mendes,926.703.481-22,100086,24743.9
Noah da Paz,314.702.869-04,100087,49930.61
Caio Ferreira,892.314.567-09,100088,39724.13
Sophie da Cunha,827.394.106-03,100089,5521.1
Dra. Brenda da Cruz,370.918.462-22,100090,366.76
Maria Luiza Gomes,385.726.904-92,100091,18032.66
Daniela Barbosa,720.815.934-32,100092,29007.95
Dr. Davi Lucca Nunes,702.456.319-25,100093,19608.14
Isis Campos,924.856.130-60,100094,7559.69
Fernando Duarte,348.267.519-82,100095,30573.84
Maitê da Mota,124.509.638-98,100096,31587.18
Giovanna Novaes,750.268.431-07,100097,26114.98
Enzo Peixoto,283.069.754-56,100098,6711.8
Clara Ribeiro,327.615.480-35,100099,15781.32
Dr. João Pedro Rodrigues,980.742.361-96,100100,45480.64
Nicolas Correia,925.137.608-59,100101,8190.98
Maria Vitória Rezende,613.290.547-25,100102,43242.97
Ana Júlia Rodrigues,201.593.468-51,100103,4143.32
Sr. Pedro Alves,710.968.423-78,100104,37827.59
Elisa Moreira,035.982.761-68,100105,26916.36
Heitor Moura,023.974.816-69,100106,6143.3
Juan Rocha,051.938.627-21,100107,3888.16
Maria Luiza Alves,608.942.571-02,100108,11484.19
Breno Pires,013.482.597-79,100109,812.53
Vinicius Alves,572.610.384-07,100110,46379.34
Luiza da Rocha,198.453.760-10,100111,39022.25
Clara Costa,406.892.753-74,100112,29752.53
Fernando Lima,620.547.391-70,100113,40623.21
Marcela Nunes,496.708.152-58,100114,28425.74
Srta. Joana Alves,719.680.432-50,100115,46083.94
Diogo Pinto,612.548.037-26,100116,24695.53
Raul Jesus,520.391.768-02,100117,30395.4
Srta. Stephany Almeida,217.980.645-02,100118,26222.81
Letícia Costela,051.794.638-66,100119,39814.06
Diogo Sales,053.627.148-80,100120,45536.63
Esther Porto,143.897.602-03,100121,30068.08
Enrico Lima,932.854.016-05,100122,32174.19
Maria Fernanda Viana,425.139.708-88,100123,11148.2
Kevin das Neves,947.836.015-93,100124,40366.66
Maria Julia Ribeiro,124.697.380-40,100125,3294.71
Júlia Nogueira,712.963.408-13,100126,47531.88
Lucas Moraes,042.891.365-24,100127,29017.42
Lucas Gabriel Almeida,482.651.390-98,100128,42996.15
Leandro da Mata,430.695.281-98,100129,25007.38
Sr. Gustavo Henrique Pires,825.049.763-56,100130,21878.5
Esther Caldeira,546.281.097-02,100131,8772.94
Emanuella Freitas,684.235.719-55,100132,28848.57
Dr. Vitor Hugo Cunha,673.241.859-91,100133,7894.21
Kamilly Ramos,203.657.918-30,100134,34494.89
Dr. Davi Luiz Moreira,618.972.350-03,100135,27650.84
Guilherme Castro,128.053.694-24,100136,20343.16
Diogo Pires,036.597.482-00,100137,23565.89
Lara Pinto,189.472.036-96,100138,5342.25
Erick Fernandes,537.092.841-04,100139,7530.71
Igor Teixeira,436.510.798-48,100140,296.91
Nathan Peixoto,574.302.618-17,100141,11552.86
Gabriel Martins,948.271.503-97,100142,25857.14
Erick Carvalho,562.183.907-21,100143,24424.83
Laura Nascimento,805.762.143-53,100144,43898.55
Giovanna Porto,794.653.081-10,100145,15328.96
Maitê Nascimento,029.743.651-16,100146,10301.9
Arthur Farias,520.736.841-90,100147,41234.04
Lívia Fogaça,073.295.486-00,100148,25970.52
Enzo Carvalho,085.617.324-07,100149,29239.6
Igor Vieira,549.061.387-48,100150,17129.92
Camila Moraes,450.319.827-05,100151,11253.82
Lucas Gabriel Silveira,870.295.643-83,100152,5308.75
Daniela das Neves,238.691.507-77,100153,31597.3
